Constituency Name,Votes,Cons,Lab,LD,Other,Percentage Yes,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications,Age: Mean Age; measures: Value,Age: Median Age; measures: Value
Islwyn,34684,4854.0,17069.0,3597.0,66376.0,32.0,31.6,15.4,16.2,3.9,11.2,18.1,3.7,40.1,40.0
Kettering,47328,23247.0,14153.0,7498.0,73605.0,25.3,22.8,15.5,17.0,4.3,11.8,23.3,5.3,39.5,40.0
Knowsley,44658,4004.0,31650.0,5964.0,84960.0,31.3,36.4,15.2,15.9,3.4,11.5,14.3,3.4,39.0,39.0
Lewes,50088,18401.0,2508.0,26048.0,74211.0,34.6,20.9,13.2,15.6,3.2,11.5,31.4,4.2,44.7,46.0
Lichfield,51563,28048.0,10230.0,10365.0,77883.0,23.7,22.0,13.3,15.9,3.6,12.0,29.3,4.0,42.3,44.0
Lincoln,45721,17163.0,16105.0,9256.0,79115.0,30.2,21.5,13.3,16.2,3.8,18.1,21.9,5.2,37.8,35.0
Llanelli,37461,5381.0,15916.0,3902.0,70284.0,33.7,28.2,13.9,16.5,5.0,10.9,21.0,4.6,41.1,42.0
Maldon,47895,28661.0,6070.0,9254.0,75083.0,24.1,22.1,16.1,18.0,4.4,11.5,24.2,3.8,42.3,44.0
Mansfield,48395,12741.0,18753.0,7469.0,91901.0,28.2,30.4,15.7,16.5,3.7,12.1,16.4,5.3,40.2,41.0
Middlesbrough,33455,6283.0,15351.0,6662.0,72711.0,28.8,31.7,13.7,14.8,3.9,13.4,16.9,5.7,36.6,34.0
Mole Valley,54324,31263.0,3804.0,15610.0,78354.0,27.8,15.6,11.5,16.0,2.8,11.4,38.5,4.2,42.7,44.0
Monmouth,46519,22466.0,12041.0,9026.0,69935.0,30.7,21.0,12.0,15.0,3.8,10.5,33.9,3.7,43.8,46.0
Montgomeryshire,33813,13976.0,2407.0,12792.0,55780.0,35.6,25.2,13.3,17.1,3.7,11.5,24.7,4.6,43.0,45.0
Neath,37122,4847.0,17172.0,5535.0,69281.0,35.0,29.1,13.8,16.1,5.1,11.2,20.7,3.9,41.6,43.0
Newcastle-under-Lyme,43191,14841.0,16393.0,8466.0,75347.0,27.0,26.4,12.4,15.5,3.6,15.4,22.7,4.0,40.2,40.0
Newport East,34448,7918.0,12744.0,11094.0,59556.0,32.4,28.0,15.0,15.7,4.3,11.7,20.5,4.7,38.5,38.0
Newport West,39720,12845.0,16389.0,6587.0,68438.0,31.8,24.9,13.4,15.3,3.9,11.2,26.5,4.6,39.4,40.0
Ogmore,34650,5398.0,18644.0,5260.0,63322.0,34.4,33.3,14.8,15.6,4.1,10.4,18.0,3.8,39.6,40.0
Pendle,45045,17512.0,13927.0,9095.0,73390.0,24.7,28.2,13.3,15.1,4.8,12.5,20.2,5.8,38.9,39.0
Peterborough,44927,18133.0,13272.0,8816.0,77445.0,32.1,27.8,15.4,15.4,3.4,9.8,17.7,10.5,36.9,35.0
Pontypridd,36671,5932.0,14220.0,11435.0,65753.0,36.4,25.2,13.0,15.2,3.6,13.0,25.8,4.2,39.3,39.0
Poole,47436,22532.0,6041.0,14991.0,78978.0,27.8,22.0,13.9,16.1,4.7,12.0,26.3,4.9,42.4,42.0
Preseli Pembrokeshire,39602,16944.0,12339.0,5759.0,64429.0,32.0,24.0,13.6,17.0,4.2,11.8,25.4,4.0,42.6,44.0
Preston,32505,7060.0,15668.0,7935.0,65499.0,31.2,26.7,13.4,14.2,3.3,16.3,19.3,6.8,34.7,31.0
Redditch,44018,19138.0,13317.0,7750.0,72863.0,26.7,24.6,15.5,16.9,3.7,12.0,21.7,5.5,39.0,39.0
Rhondda,31072,1993.0,17183.0,3309.0,62621.0,36.5,37.8,14.5,15.8,3.4,10.5,14.0,3.9,40.7,41.0
Ribble Valley,52287,26298.0,11529.0,10732.0,83998.0,24.8,19.4,12.2,15.8,5.6,13.2,30.0,3.7,41.7,43.0
Rochdale,45907,8305.0,16699.0,15810.0,86529.0,29.0,29.3,14.4,15.9,3.4,11.6,19.0,6.3,36.4,35.0
Rotherham,37506,6279.0,16741.0,5994.0,74547.0,29.4,33.1,16.0,16.3,4.1,10.8,14.3,5.4,38.7,39.0
Rugby,47468,20901.0,14901.0,9434.0,73639.0,27.0,20.5,13.5,16.0,5.4,11.7,26.7,6.2,40.0,40.0
Rushcliffe,53687,27470.0,11128.0,11659.0,78881.0,32.1,16.2,10.1,14.0,3.3,13.2,39.9,3.3,41.1,42.0
St Albans,52835,21533.0,9288.0,19228.0,75344.0,36.1,13.8,10.5,13.3,2.8,10.5,44.5,4.6,38.4,38.0
Sevenoaks,49408,28076.0,6541.0,10561.0,76333.0,24.8,19.0,13.7,16.3,3.4,10.9,32.5,4.2,41.1,42.0
Slough,47742,16361.0,21884.0,6943.0,82552.0,38.1,20.3,14.6,13.3,2.2,10.0,25.9,13.7,33.5,32.0
Solihull,55129,23460.0,4891.0,23635.0,81957.0,23.9,20.4,12.5,16.1,3.6,12.1,31.1,4.2,42.3,43.0
South Ribble,51458,23396.0,17842.0,7271.0,81302.0,25.7,20.6,13.2,16.6,5.2,13.1,27.5,3.8,41.6,43.0
Spelthorne,47304,22261.0,7789.0,12242.0,78028.0,26.0,20.4,16.1,16.1,3.9,11.4,25.9,6.2,40.4,41.0
Stafford,50239,22047.0,16587.0,8211.0,76599.0,26.2,20.4,13.3,16.2,3.5,13.8,28.4,4.5,41.0,41.0
