geography,Mean.Age,Median.Age,Percentage.Age.18.to.19,Percentage.Age.20.to.24,Percentage.Age.25.to.29,Percentage.Age.30.to.44,Percentage.Age.45.to.59,Percentage.Age.60.to.64,Percentage.Age.65.to.74,Percentage.Age.75.to.84,Percentage.Age.85.to.89,Percentage.Age.90.and.over
Hertford and Stortford,39.0,39.0,2.0307184826306566,4.810188265502151,5.8400727197758435,23.044484636073133,20.877885128993263,5.590801323200045,7.598092042994631,5.178472697285191,1.3325711501157331,0.7290719794585375
Hertsmere,39.4,39.0,2.093351061171037,5.86718117383611,6.0971098959322605,20.676590257020326,20.262718557247254,5.776209375093721,7.995521388369606,5.6722416051024185,1.7474582879307414,0.9077186072317581
Hitchin and Harpenden,39.6,40.0,1.7749756543214832,4.3139538385856415,5.2566586685674705,22.23739295431044,20.584898651701184,5.795777405202446,8.241388657423675,5.631130342245023,1.662533757667634,0.8493378979388998
Huntingdon,39.6,40.0,2.2926578143861396,5.9025065682027975,6.1758858197827164,21.250798835475397,20.2771071504651,6.444827096499325,9.086309735141661,5.092132358162323,1.2967762550592914,0.6612582546332457
Ipswich,37.7,36.0,2.692586442574975,7.353926038732879,8.517196774400706,21.773712650110546,18.119684779318,5.232883498619304,6.838343898791777,5.150316963753291,1.4458317660981808,0.8596093685494894
Luton North,36.1,34.0,2.39623232639696,6.223533811030148,7.546464268749936,21.13656806168959,17.70442762286881,4.459963414757395,7.422155295259078,4.841986113778083,1.068248658372664,0.49319332571982977
Luton South,34.1,31.0,2.8507896169903795,9.72499546197132,10.52005808676711,21.93047740061717,16.17353421673625,4.042475948447994,5.476493011435832,3.685786894173171,0.8186603739335633,0.42112906153566887
Maldon,42.3,44.0,2.055249614288771,5.001295088798044,4.517044494746444,18.469092424293613,22.457965922272148,7.952971384168384,10.468822144892282,6.210795409754834,1.464013423876933,0.846875457504195
Mid Bedfordshire,40.0,41.0,2.128424606226466,5.206699893129314,5.011935557974851,20.66299777269504,22.28403631605757,6.540086495340638,8.90522467813945,5.132789324916851,1.2704627400844979,0.5663147591414388
Mid Norfolk,43.1,44.0,2.0873397435897436,5.076121794871795,4.956931089743589,17.869591346153847,19.815705128205128,7.5941506410256405,11.591546474358974,7.474959935897436,2.034254807692308,1.1037660256410258
North East Bedfordshire,40.2,41.0,1.9558783441722807,4.62537481989174,5.125783714319093,21.10771447486273,21.690875812921064,6.7078157249114065,9.143658242143387,5.286420810779236,1.2909381206433272,0.6259978971143736
North East Cambridgeshire,41.8,42.0,2.1018722858973446,5.611518473695451,5.9229728767708405,19.117071260767425,20.25966398519257,6.889371396027622,10.32960774542607,6.825300775966399,1.7165586958069339,0.8774115469495266
North East Hertfordshire,40.8,42.0,2.0863505656654704,4.622924668891548,4.990239909325609,20.168755116176563,21.39558801922633,6.76489725667989,9.226958839703629,5.972545809457842,1.6707596079172178,0.8532208299225489
North Norfolk,48.0,52.0,1.877252052690649,4.368834544273141,4.047492468545101,14.048083170890187,20.486738732352766,9.309468958591765,14.943587926044067,10.324295587453483,2.738496071829405,1.5488215488215489
North West Cambridgeshire,38.5,39.0,2.1477518970742278,5.797170980561487,6.8710469290986,21.675822198767,20.358065264151097,6.128209433796307,7.880154484611509,4.70490400684466,1.1698291233877869,0.6053046113496613
North West Norfolk,43.8,45.0,2.0394432530171143,5.435011143349733,5.636852949833901,17.04932509145957,19.79311214835373,7.754089399100122,12.260838484504436,7.9601362432193765,2.1403641562591984,1.0333879988225894
Norwich North,40.9,40.0,2.272415056323839,6.215083798882681,7.320954299844308,20.82264859419361,18.673871233629452,6.09373569008151,9.490337943035076,7.117181060536678,1.69314955582013,0.8219617181060537
Norwich South,38.2,34.0,4.358125581876487,12.678183510913415,9.173476776662874,20.105513602979208,16.010137581462708,5.243612289231406,7.208027309403124,5.449467259749664,1.8640736526326678,1.0127236991827868
Peterborough,36.9,35.0,2.469371133484673,7.026010709272705,8.057947909265774,21.320637011107838,17.934565997192713,5.076507182837437,7.016479803143466,4.9084166565581295,1.316997937858492,0.6550331848822499
Rayleigh and Wickford,42.0,43.0,2.0348837209302326,4.962404470375544,4.7795628235680825,20.09820034513929,20.597419672939438,7.1708850357465685,10.47230668091051,6.798011340290904,1.641466020215301,0.803270605637275
Rochford and Southend East,39.2,39.0,2.415994724378766,6.244816802054295,6.74340297553031,21.039537184137167,19.066175074688008,5.797188333683043,8.195197985671893,5.6583036080053555,1.7615379235234756,0.8712768402226153
Saffron Walden,40.9,42.0,2.1577300679684974,4.729351994429133,4.511617414843221,19.620631822595357,21.891152325934936,6.855696897772634,9.524416677291853,5.799389950862602,1.5378730666248197,0.9042850557577066
South Basildon and East Thurrock,38.9,39.0,2.6102842515946576,6.169105959581364,6.251677228908202,20.3538178890655,20.363107156864768,6.689304956340441,8.34898746980988,4.968726131742461,1.1910905600396342,0.525359701092005
South Cambridgeshire,40.1,41.0,2.2202591820193613,4.993306437658802,5.1681586784084805,21.165317329496297,20.858415219430455,6.52872767674192,8.88194741683135,5.576147240157732,1.528135729051882,0.7868350833735555
South East Cambridgeshire,40.0,40.0,1.9106282508124308,5.095008668833149,5.991514127148694,21.853300690892933,20.161353557706548,6.423648925326061,8.741146028454683,5.637790885092221,1.5272828653325086,0.7693044894972076
South Norfolk,43.1,45.0,2.019492224496654,4.3557076370006005,4.711130121291742,18.460582729929833,21.080932449359935,7.848828327884879,11.463138920289634,7.13289134663367,1.907467945780249,0.8982310347988145
South Suffolk,43.3,45.0,1.9007760048827274,4.475106809660825,4.280015694480775,17.894977766152238,21.0731101229401,8.024893190339174,11.60628651146569,7.13335949080129,1.9378324178219548,1.038669456796582
South West Bedfordshire,39.3,40.0,2.2316746871048996,5.65416393057012,6.332389175838715,20.72213346923974,20.878948554850975,6.268683047309151,8.325900951671551,5.335633287922298,1.2898040791524144,0.6331409081553645
South West Hertfordshire,40.3,41.0,1.9532993381382406,4.667217426810624,4.95589170916066,21.030491221073223,21.28023245876421,6.249228461005233,8.409537646355012,6.072605380356855,1.6503812589617222,0.9220484479009392
South West Norfolk,42.1,43.0,2.0540738810220174,5.772256488962248,5.969169586579022,18.052297802102338,19.68455293970019,7.236556337416385,11.152617303255823,7.125551404936341,1.7905578239172195,0.8368806648712825
Southend West,41.3,41.0,1.8822285225687414,4.94914720309617,5.944826965483101,21.23666801674092,19.67395706763872,6.355474551100311,9.401017055938077,6.492732100265515,1.94298186400252,1.2488186850276766
St Albans,38.4,38.0,1.848192252951476,4.924075647891217,6.489663434463409,23.972231039390557,19.460798869582135,5.418633464054964,7.53099945731751,5.045923225786634,1.346466932205646,0.7187983166603524
Stevenage,38.4,38.0,2.5076439612705963,6.25743162901308,6.950696449804654,20.92215899439443,20.578180737217597,5.2265585187701715,7.431629013079667,5.361389502293188,1.2909801257006965,0.6667232886020045
Suffolk Coastal,45.5,48.0,1.993389064663843,4.432561383646528,4.14548101125072,15.74898662650237,21.42994329151799,8.353634498165313,12.654785852194042,8.73270189129358,2.462421785761218,1.4323693228340089
Thurrock,35.6,35.0,2.2270009892047655,6.389402606339513,7.660745774375295,24.32411509182401,17.941593909939357,4.766246613048901,5.841469184121113,3.833813599415079,1.1337146789385404,0.4860006021246398
Watford,37.2,36.0,2.221247862498356,6.073573902749156,8.11592931994563,24.018941553031965,18.606568158898583,4.834480641908186,6.918051475424211,4.546849651422809,1.1943701495154997,0.647169728592099
